-78.528,0.004,-0.109,1.000
-77.527,0.077,-0.161,1.000
-76.527,0.081,-0.140,1.000
-75.528,-0.043,-0.119,1.000
-74.525,0.066,-0.092,1.000
-73.524,0.074,-0.087,1.000
-72.524,0.060,-0.061,1.000
-71.524,0.032,-0.073,1.000
-70.522,0.103,-0.093,1.000
-69.523,0.009,-0.085,1.000
-68.522,0.079,0.018,1.000
-67.519,0.341,-0.036,1.000
-66.522,-0.015,-0.080,1.000
-65.517,0.313,0.266,1.000
-64.520,-0.061,-0.030,1.000
-63.514,0.334,-0.014,1.000
-62.518,-0.252,0.038,1.000
-61.518,-0.053,-0.126,1.000
-60.517,-0.055,-0.043,1.000
-59.517,-0.095,0.074,1.000
-58.516,-0.005,-0.058,1.000
-57.515,-0.032,0.098,1.000
-56.512,0.192,-0.036,1.000
-55.516,-0.289,0.223,1.000
-54.513,0.164,-0.005,1.000
-53.515,-0.121,-0.082,1.000
-52.511,0.097,0.101,1.000
-51.514,-0.370,0.118,1.000
-50.511,-0.142,0.004,1.000
-49.509,0.106,-0.023,1.000
-48.509,-0.031,0.041,1.000
-47.508,0.106,-0.004,1.000
-46.507,0.257,-0.059,1.000
-45.507,0.228,-0.097,1.000
-44.508,-0.187,0.132,1.000
-43.507,-0.173,-0.033,1.000
-42.507,-0.080,-0.080,1.000
-41.506,-0.168,0.159,1.000
-40.509,-0.352,0.018,1.000
-39.503,0.214,0.146,1.000
-38.503,-0.007,-0.022,1.000
-37.499,0.339,0.161,1.000
-36.499,0.391,0.094,1.000
-35.497,0.461,-0.175,1.000
-34.501,-0.128,-0.008,1.000
-33.503,-0.302,0.022,1.000
-32.501,-0.236,0.299,1.000
-31.498,0.165,0.184,1.000
-30.502,-0.255,-0.019,1.000
-29.502,-0.299,0.065,1.000
-28.495,0.429,0.116,1.000
-27.495,0.437,0.124,1.000
-26.498,0.253,-0.170,1.000
-25.499,-0.065,0.011,1.000
-24.502,-0.229,-0.100,1.000
-23.500,-0.197,-0.057,1.000
-22.497,0.351,-0.033,1.000
-21.498,0.077,0.141,1.000
-20.500,-0.094,-0.091,1.000
-19.501,-0.194,-0.149,1.000
-18.500,-0.127,0.015,1.000
-17.498,-0.137,0.325,1.000
-16.500,-0.173,-0.026,1.000
-15.500,-0.215,-0.123,1.000
-14.498,0.105,-0.088,1.000
-13.501,-0.337,0.043,1.000
-12.500,-0.321,0.206,1.000
-11.496,-0.023,0.002,1.000
-10.494,0.142,0.234,1.000
-9.496,-0.019,-0.189,1.000
-8.495,-0.079,0.062,1.000
-7.500,-0.554,0.059,1.000
-6.496,-0.328,-0.117,1.000
-5.493,0.075,-0.053,1.000
-4.491,0.192,0.127,1.000
-3.493,-0.225,0.155,1.000
-2.489,0.320,-0.099,1.000
-1.487,0.393,0.023,1.000
-0.491,0.113,-0.103,1.000
0.509,-0.179,0.115,1.000
1.516,0.332,0.570,1.000
2.509,-0.124,-0.002,1.000
2.510,-0.189,0.171,1.000
4.510,-0.162,0.104,1.000
5.515,0.439,-0.009,1.000
6.509,-0.290,0.157,1.000
7.509,-0.206,0.045,1.000
8.506,-0.480,-0.085,1.000
9.508,-0.387,-0.062,1.000
10.511,0.068,-0.105,1.000
11.515,0.607,-0.071,1.000
12.513,0.037,0.298,1.000
13.510,-0.232,-0.002,1.000
14.519,0.770,-0.196,0.000
15.511,-0.224,0.190,0.000
16.512,-0.209,0.105,0.000
17.518,0.484,-0.210,0.000
18.510,-0.230,-0.224,0.000
19.515,0.173,0.114,0.000
20.511,-0.179,-0.361,0.000
21.515,0.151,-0.264,0.000
22.509,-0.612,0.103,0.000
23.510,-0.423,0.153,0.000
24.509,-0.553,-0.221,0.000
25.514,-0.016,-0.046,0.000
26.516,0.229,-0.011,0.000
27.514,-0.279,0.310,0.000
28.515,-0.050,-0.010,0.000
29.519,0.243,0.388,0.000
30.514,-0.351,0.321,0.000
31.512,-0.295,-0.279,0.000
32.513,-0.393,0.082,0.000
33.513,-0.240,-0.374,0.000
34.517,0.123,0.080,0.000
35.518,0.314,-0.241,0.000
36.521,0.523,-0.028,0.000
37.518,0.009,0.371,0.000
38.517,0.046,-0.202,0.000
39.520,0.336,0.008,0.000
40.522,0.621,-0.298,0.000
41.517,0.135,-0.090,0.000
42.520,0.367,0.099,0.000
43.519,0.367,-0.326,0.000
44.519,0.096,-0.126,0.000
45.518,0.153,-0.271,0.000
46.520,0.147,0.096,0.000
47.517,-0.372,0.062,0.000
48.516,-0.305,-0.443,0.000
49.521,0.267,-0.027,0.000
50.518,-0.295,0.371,0.000
51.525,0.577,0.186,0.000
52.515,-0.435,-0.258,0.000
53.520,0.118,-0.248,0.000
54.514,-0.697,-0.276,0.000
55.518,-0.482,0.028,0.000
56.523,-0.080,0.029,0.000
57.523,-0.216,-0.148,0.000
58.526,0.199,-0.353,0.000
59.524,-0.170,0.011,0.000
60.527,0.157,-0.082,0.000
61.525,0.162,-0.439,0.000
62.525,-0.016,-0.255,0.000
63.521,-0.642,-0.170,0.000
64.529,0.326,-0.128,0.000
65.526,-0.102,0.048,0.000
66.528,0.052,-0.300,0.000
67.532,0.100,0.068,0.000
68.536,0.508,0.525,0.000
69.531,0.089,-0.110,0.000
70.533,0.258,0.144,0.000
71.529,-0.016,-0.169,0.000
72.531,0.089,-0.199,0.000
73.533,0.100,0.319,0.000
74.533,0.070,-0.107,0.000
75.538,0.097,0.298,0.000
76.542,-0.425,0.414,0.000
77.551,0.325,0.374,0.000
78.551,0.179,0.620,0.000
